787298,437068,41898,107599,75520,54484,9516,20941,0
115895,23266,1316,2342,4529,5183,1599,616,0
334313,78420,7045,12040,8544,2846,1237,887,0
222638,87201,54207,8320,14141,9424,4299,2604,0
498108,43793,1398,10865,9012,6815,2923,858,0
564562,175364,32519,5174,15016,9620,7032,5905,0
204760,77486,7796,26143,12693,7325,4528,2347,0
246848,380777,10966,2064,13832,9364,2642,2664,0
412251,26408,29510,8191,7074,11702,3511,3213,0
79008,50496,3880,1323,2944,2035,1856,1055,0
258106,156619,2694,15880,6676,13659,3251,5032,0
768544,21759,5169,13922,9179,11201,4089,4706,0
136736,186738,48614,8430,13260,4737,2472,5392,0
544115,86445,5906,4357,11458,7063,5203,3986,0
606975,94325,12528,5375,7524,6533,8829,2610,0
161549,141481,25798,20916,10918,7141,5529,1348,0
245342,55539,15685,15267,13060,7007,6441,1079,0
106939,88275,11770,3927,7336,3603,2946,1882,0
320671,69147,7737,3107,13919,13681,4034,1298,0
351514,57944,3009,17608,12087,8874,8493,2554,0
801942,43951,14960,9693,15732,9378,6149,5763,0
309479,169608,27152,24983,8588,11982,3389,1243,0
536403,77070,7142,11239,13070,8454,5677,2963,0
282114,54837,17917,16783,12733,4432,5226,3046,0
87911,54884,7943,5768,6152,7344,4648,1904,0
198517,34427,6620,174,11574,12386,2014,1153,0
472675,25607,20574,8713,7988,8141,4615,1949,0
1179173,115859,3351,3072,11169,12431,7249,2103,0
650975,98022,36871,8015,14339,11890,6670,4913,0
69881,21383,8995,1801,4710,3178,843,762,0
825110,129580,7498,6965,17600,8020,4498,840,0
1423810,27461,18326,17227,9002,7417,5599,3266,0
710519,167410,17753,18572,13009,7501,3718,1545,0
276317,12293,3208,861,2844,1568,979,815,0
377314,121303,6124,8858,20995,7719,5752,1824,0
184373,45749,7645,52992,9415,7531,6238,2897,0
246317,293794,3447,9969,11175,15740,6757,2378,0
183531,82778,1640,3565,2776,1651,843,646,0
437894,72258,27852,1370,13561,11597,4935,2297,0
68742,108238,10217,13902,1893,5328,4856,2204,0
29345,43571,2836,1940,1861,2337,857,355,0
643026,121894,15970,6782,18040,12387,9111,897,0
246383,101305,8449,6256,9863,8046,3987,694,0
155647,88389,4542,1530,3644,948,846,376,0
818147,82658,12462,3310,8463,10628,7850,3443,0
773998,117419,24051,27905,23768,5983,5906,5451,0
974296,12006,12378,24118,6685,2787,5634,3843,0
137452,30297,2952,4160,2982,719,376,169,0
345364,53427,20128,8359,8004,9659,4377,1463,0
942498,296540,24599,46645,12426,16671,8868,3388,0
915566,12074,19901,1223,3473,2000,1017,471,0
138900,58474,9681,720,1673,1526,1533,360,0
265847,36474,7494,4381,7601,6372,1239,687,0
318660,604072,74101,18103,55011,21242,2622,805,0
581318,68897,28022,30139,10351,14521,2179,661,0
924118,69013,22154,3970,5426,3247,3581,2496,0
64652,12863,16610,18838,11859,10140,1185,665,0
511821,47134,10791,2234,6937,8294,2139,1552,0
207757,31800,28419,49722,16605,11100,8329,2735,0
1085043,73640,56015,135678,25314,6021,2476,2118,0
344760,36709,4402,8832,5054,2981,962,522,0
152607,13795,2721,5828,1960,4047,2310,454,0
298840,248598,19520,14480,9234,13416,2467,1457,0
309752,30550,15295,11682,5261,3576,3074,516,0
833344,83235,42437,2669,3143,1743,2000,678,0
1922172,280675,16861,55538,53087,19058,17768,3473,0
759003,350422,92618,155657,123842,31202,10344,1591,0
1392387,155843,46324,13978,25607,13688,5122,1288,0
1436915,214880,14448,17894,8502,4293,2254,466,0
563674,28823,3557,5319,1475,1305,553,173,0
692316,22593,3706,5338,5598,4944,1172,325,0
597351,81619,19113,24449,6396,4008,1871,1227,0
399178,380905,12088,39867,30163,5308,2532,2078,0
1646271,142483,6690,36221,23630,18093,4067,2946,0
1010213,14119,9945,6506,2671,2056,549,235,0
1506850,272049,33925,34239,11688,12513,8831,1256,0
592426,45596,23611,43812,15100,11622,4739,2321,0
515617,47977,66167,2162,12495,13505,2603,2554,0
772389,172037,9921,6938,11603,9860,5257,5227,0
114440,51632,3829,3358,1689,3127,1021,619,0
1090035,156243,46629,39565,75191,13056,9093,4620,0
1233807,109774,61514,25211,25633,8988,6029,1792,0
363986,176406,216692,32953,18380,11629,12799,5820,0
712351,53667,50598,42639,15565,23467,7201,1815,0
395830,183474,11653,16051,21096,7888,3610,3862,0
994058,77133,102430,36480,22254,16475,9018,1623,0
934115,33043,79802,33218,7501,6623,9592,3008,0
1712313,192652,69259,8539,25388,21403,10387,2992,0
1099973,180426,36266,10460,12191,15597,8814,4505,0
644880,238554,50378,36047,19151,10607,2577,2738,0
93965,39810,11922,8157,15321,2374,1200,142,0
818056,222850,54579,37265,43495,27946,13237,3466,0
1039837,98344,66121,18445,6786,88897,9684,9290,0
51843,55938,15067,7978,3687,3488,1218,551,0
184936,80849,59360,43663,23168,8435,3365,1258,0
973307,246645,25855,51240,63285,20548,14004,3805,0
165938,15186,2851,5170,3281,7182,529,281,0
538570,52401,3292,8490,1499,2918,1726,724,0
517736,614155,9875,12694,16158,21858,5847,4303,0
752530,72495,7757,5959,10400,3942,3669,918,0
17521,43618,16200,1317,1793,1531,1749,574,0
453034,55679,8214,16735,3725,7050,4231,1076,0
1018621,47134,28328,10006,2610,6209,5516,1978,0
708640,115119,5664,34929,8437,13285,6108,6112,0
1384583,372686,88806,31819,46764,12852,6092,2589,0
666118,65164,6686,4882,5002,4820,1216,1522,0
675704,38546,12302,7487,2904,5804,4116,839,0
52693,10037,1048,3258,1060,1259,1236,196,0
173130,137502,21235,26223,39871,9691,6570,1307,0
216255,46988,5013,2779,1886,3894,693,698,0
630129,55991,10865,27076,7017,9472,4841,3021,0
320876,174703,11665,9307,6399,10408,10291,1313,0
129795,91419,17922,17042,3869,5601,8095,1387,0
209314,134699,4133,7722,4261,5950,2880,1820,0
94538,87905,1047,9510,11419,5458,4575,834,0
111453,123367,17476,11993,14503,5376,6339,2611,0
60836,107267,10083,6123,1117,4657,5769,2832,0
102214,15146,3416,15839,9664,5110,6951,1186,0
160560,45291,7056,10793,6262,7490,4275,1294,0
249578,109313,640,9965,3057,6220,6152,2767,0
158229,78549,14131,13271,6855,4549,4649,1672,0
96298,23487,405,1798,7322,5242,2573,456,0
915671,46418,8778,5153,5083,5115,4961,2793,0
453273,102263,19296,10789,9364,10770,4529,2896,0
279278,44426,5544,4898,13480,7190,4058,3327,0
129417,25203,27110,20913,10013,5847,6175,887,0
128295,22742,2522,7146,8369,7634,6798,1656,0
464879,18456,11609,16185,4405,5621,8051,1132,0
167558,7221,6015,3296,3600,1760,1110,321,0
38436,245124,9877,2105,4603,4023,4244,2510,0
109555,3700,7480,2661,3068,1903,1116,255,0
373752,69453,16238,15487,9322,9495,7992,1505,0
112579,108990,5289,6970,10721,7108,5233,1850,0
795548,46433,17163,5223,20212,13089,4098,2737,0
206575,180731,3396,26421,10857,5413,1288,1402,0
72772,64442,1814,4767,6584,9418,4285,1673,0
593276,133667,9653,17245,7195,12279,4959,2066,0
474104,35810,11393,19217,11148,10615,12729,2646,0
178215,79632,4752,5404,6275,8479,3786,999,0
38802,8248,9942,2543,1359,1533,1184,439,0
596571,76155,17287,6531,9403,7092,3838,2362,0
421921,84538,3262,9646,12236,5588,4398,1743,0
609935,59121,5063,22055,34488,8692,6629,6338,0
1060368,251963,113849,41733,49983,6879,7240,7615,0
239615,47798,2013,1635,4974,2435,1631,290,0
639567,66699,11060,9987,16791,1516,1137,947,0
297426,160818,53961,39677,20649,19178,4056,4000,0
163780,144667,19450,9450,9796,4530,1426,1311,0
1061148,86810,53381,8324,5632,11285,3688,1249,0
192131,257297,40007,12595,34268,14418,7805,1250,0
275818,411144,30516,44954,9889,9257,6735,1383,0
163748,30867,15204,10669,21583,5787,9021,2985,0
262176,315619,46252,15657,16403,13932,1944,1637,0
1736445,77715,67634,12320,12848,8549,3217,4445,0
484389,45152,9450,9367,4094,2426,1818,686,0
34038,11159,5685,4226,1820,2771,830,396,0
457538,71644,25153,24255,10604,12094,3570,3728,0
1317344,203217,63643,42840,36966,25152,8327,2942,0
513382,89853,4558,3137,2354,1250,1449,1257,0
1333915,209839,147585,24725,16426,30224,11017,4091,0
1009323,63017,43657,17665,12642,7556,3343,1430,0
415048,159384,33948,23900,7888,6634,6016,1824,0
614537,21957,37329,10262,40409,5861,2857,2181,0
1628918,203254,14204,12726,13363,5893,4305,1903,0
224759,115954,20669,11029,9196,8839,2783,3407,0
65187,37766,1712,825,2050,1298,986,350,0
279389,126160,5838,6077,6181,8030,4682,2530,0
519407,159317,2415,7883,5612,4362,10003,1172,0
58600,48338,2886,7515,6554,3942,3789,6469,0
378139,78103,27857,14354,3352,4303,3174,1501,0
181884,26716,5703,30980,17084,5913,3870,1994,0
682015,70847,1325,17409,39083,8549,7028,4848,0
204471,84637,23724,9668,15501,8120,4286,3678,0
281027,46704,7319,13989,7930,7229,3270,2328,0
172232,81675,3564,12180,23054,4736,4499,3269,0
141641,68892,5631,8895,6685,5755,3366,2337,0
148342,43146,19641,9447,13495,9984,8285,948,0
296782,367061,14367,7352,4232,5765,6704,2420,0
725040,38568,27383,6793,5654,8287,5172,2299,0
668681,111752,16076,29525,6706,7281,5871,1101,0
320415,22714,1133,6167,2292,1858,1450,314,0
174149,20988,8371,5077,8345,1825,950,410,0
888051,252393,11763,23736,8523,5691,2722,2486,0
196981,110800,3745,14600,5580,5290,3944,1364,0
289131,82292,7203,7961,13269,3524,2162,899,0
196847,107697,20760,4289,6511,9274,4590,993,0
662850,54325,6244,6391,12899,9155,5486,3821,0
527513,72961,10640,8961,19806,8897,6924,3126,0
118617,174752,13747,3866,21735,4408,5757,1468,0
301216,44246,4847,19900,23244,3360,2128,2100,0
703037,39517,5034,16440,5072,8794,6150,2685,0
379873,57146,5246,11186,6941,8414,4230,1498,0
381552,47928,20901,8651,5550,5385,2325,1431,0
364747,118467,32015,10168,8750,13370,2007,2178,0
426488,78192,32544,24169,9605,12920,1756,1622,0
